classification_2019,classification_2020,classification_2021,es_espurio,temperature_2m,total_precipitation_sum
3,3,3,0,296.03931067583665,0.05894031576655223
3,3,3,0,296.1366946501495,0.0635601674749644
3,3,19,0,296.5122913820185,0.05371758170268848
4,4,4,0,296.0390995346296,0.06735998965642764
19,19,19,0,296.08932002611175,0.06177995182416751
4,15,15,0,295.80633480992145,0.0690990582341146
19,19,19,0,295.6849939305275,0.07338055424235179
15,15,15,0,296.09744774869256,0.058971588336844384
3,3,3,0,295.9242201122676,0.06295475564740016
3,3,3,0,296.5333447396345,0.059385589781819924
19,19,19,0,295.6202185400031,0.06313532046816661
19,19,19,0,295.52996836848206,0.06147282274903768
3,3,3,0,295.6872735904703,0.06407714587789688
19,19,19,0,296.20786645313336,0.06383999886455054
19,4,4,0,295.76974029524314,0.06296027901114935
19,19,19,0,295.90584519245084,0.06840588974298949
3,3,3,0,296.5444543297072,0.05865535961927885
19,19,19,0,295.89504993079254,0.06902914943637366
3,3,3,0,296.0549977449671,0.06652843283953185
19,19,19,0,295.91374419525715,0.06715551964781596
19,19,19,0,296.0473957183153,0.06583212765397543
19,19,19,0,295.6381372068768,0.0729336684181483
19,19,15,0,295.99212301857796,0.06790216219764862
3,3,3,0,296.4067126417536,0.055131460997878655
19,19,19,0,296.13434214380607,0.06502354097705994
4,4,4,0,296.3896595961201,0.05930968202493503
19,19,19,0,295.4928121319701,0.06663944028160884
19,19,19,0,296.08119056322556,0.06452904842636897
19,19,19,0,295.8709299200502,0.0675828613573503
3,3,3,0,295.9028054676642,0.06568623286825333
3,3,3,0,296.462438322529,0.06613405001503143
3,3,3,0,295.99212301857796,0.06790216219764862
3,3,3,0,296.3108327511661,0.05950556027235502
19,19,19,0,296.13434214380607,0.06502354097705994
3,3,3,0,296.1796819724588,0.0638878626360686
4,4,4,0,296.20786645313336,0.06383999886455054
3,3,3,0,296.6819343334202,0.06789971592368597
3,3,3,0,295.7364388466372,0.06959292493603542
19,15,15,0,295.9784734127475,0.06024881280801608
19,19,19,0,296.4402820252156,0.058735822164435326
19,19,19,0,295.91374419525715,0.06715551964781596
3,3,3,0,295.6554502681096,0.07481662385008647
