classification_2020,temperature_2m,total_precipitation_sum
3,295.43380456396267,0.06776386576237196
3,296.3343465060105,0.0643799647921514
15,295.8357693616565,0.06841514212232742
3,295.99667871351886,0.0593606179191859
3,296.3108327511661,0.05950556027235502
3,296.2216660179147,0.06275358003717575
3,295.975639994232,0.06588549740455463
19,296.2172043233505,0.06069794994932328
66,296.1713690978342,0.059656970971245706
19,295.9527129335093,0.062400120768367394
19,296.4820032410631,0.05026818143667692
19,295.87955090667117,0.06792448165359015
19,296.08119056322556,0.06452904842636897
19,295.62132868181374,0.07389605246327235
3,296.4067126417536,0.055131460997878655
3,296.03931067583665,0.05894031576655223
3,295.9242201122676,0.06295475564740016
19,295.92508291622977,0.06568019044738922
15,296.4010254430746,0.061678802741983674
3,295.7411555813028,0.06098082614284669
19,296.17706437921436,0.0629146442049932
3,296.19934586913064,0.06193427694183503
4,295.48789743071944,0.06504611747803206
3,295.8189378517891,0.066356479648172
19,295.68733248173936,0.07122493984641547
3,296.5252283409824,0.06502454804720396
3,296.19934586913064,0.06193427694183503
19,295.92508291622977,0.06568019044738922
19,295.5630877672185,0.07004175039472098
3,296.2713806556142,0.06352298907778575
19,295.478875589744,0.06774764833193932
19,295.478875589744,0.06774764833193932
3,296.38053910540435,0.05634627319715335
